city,icao,station_label,sort_order
lisbon,LPPR,Porto,2
london,EGLL,Heathrow,0
london,EGKK,Gatwick,1
london,EGSS,Stansted,2
london,EGGW,Luton,3
london,EGLC,London City,4
london,EGMC,London Southend,5
la,KLAX,Los Angeles International,0
la,KBUR,Hollywood Burbank,1
la,KONT,Ontario International,2
la,KSNA,John Wayne-Orange County,3
la,KLGB,Long Beach,4
la,KVNY,Van Nuys,5
la,KPSP,Palm Springs,6
madrid,LEMD,Madrid-Barajas,0
madrid,LEMG,Málaga-Costa del Sol,1
madrid,LEAL,Alicante-Elche,2
manila,RPLL,Ninoy Aquino,0
manila,RPLC,Clark International,1
manila,RPVM,Mactan-Cebu,2
melbourne,YMML,Melbourne Tullamarine,0
melbourne,YMEN,Essendon,1
melbourne,YMAV,Avalon,2
mexico-city,MMMX,Mexico City International,0
mexico-city,MMSM,Toluca,1
mexico-city,MMTO,Puebla,2
miami,KMIA,Miami International,0
miami,KFLL,Fort Lauderdale-Hollywood,1
miami,KPBI,Palm Beach International,2
miami,KOPF,Miami-Opa Locka Executive,3
milan,LIMC,Milan Malpensa,0
milan,LIML,Linate,1
milan,LIME,Bergamo Orio al Serio,2
montreal,CYUL,Montréal-Trudeau,0
montreal,CYHU,Montréal Saint-Hubert,1
montreal,CYMX,Montréal-Mirabel,2
moscow,UUEE,Sheremetyevo,0
moscow,UUDD,Domodedovo,1
moscow,UUWW,Vnukovo,2
moscow,UUMB,Moscow Zhukovsky,3
mumbai,VABB,Mumbai,0
mumbai,VAPO,Pune,1
mumbai,VOGO,Goa,2
munich,EDDM,Munich,0
munich,EDMA,Augsburg,1
munich,EDNL,Memmingen,2
nairobi,HKJK,Jomo Kenyatta,0
nairobi,HKMO,Mombasa,1
nyc,KJFK,JFK,0
nyc,KLGA,LaGuardia,1
nyc,KEWR,Newark Liberty,2
nyc,KTEB,Teterboro,3
nyc,KHPN,Westchester County,4
nyc,KISP,Long Island MacArthur,5
nyc,KSWF,New York Stewart,6
oslo,ENGM,Oslo Gardermoen,0
oslo,ENTO,Sandefjord,1
oslo,ENBR,Bergen,2
paris,LFPG,Paris Charles de Gaulle,0
paris,LFPO,Paris Orly,1
paris,LFPB,Paris-Le Bourget,2
paris,LFQQ,Lille (regional),3
philadelphia,KPHL,Philadelphia International,0
philadelphia,KTTN,Trenton Mercer,1
philadelphia,KILG,Wilmington,2
philadelphia,KABE,Lehigh Valley,3
phoenix,KPHX,Phoenix Sky Harbor,0
phoenix,KSDL,Scottsdale,1
phoenix,KDVT,Phoenix Deer Valley,2
phoenix,KIWA,Phoenix-Mesa Gateway,3
prague,LKPR,Prague,0
prague,LKTB,Brno,1
riyadh,OERK,King Khalid,0
riyadh,OEJN,Jeddah,1
riyadh,OEDF,Dammam,2
rome,LIRF,Rome Fiumicino,0
rome,LIRA,Rome Ciampino,1
san-francisco,KSFO,San Francisco International,0
san-francisco,KOAK,Oakland International,1
san-francisco,KSJC,San Jose International,2
san-francisco,KSCK,Stockton Metropolitan,3
seattle,KSEA,Seattle-Tacoma,0
seattle,KBFI,Boeing Field,1
seattle,KPAE,Paine Field,2
seattle,KTIW,Tacoma Narrows,3
seoul,RKSI,Incheon,0
seoul,RKSS,Gimpo,1
seoul,RKTN,Daegu,2
shanghai,ZSPD,Shanghai Pudong,0
shanghai,ZSSS,Shanghai Hongqiao,1
shanghai,ZSHC,Hangzhou,2
singapore,WSSS,Changi,0
singapore,WSSL,Seletar,1
stockholm,ESSA,Stockholm Arlanda,0
stockholm,ESSB,Stockholm Bromma,1
stockholm,ESGG,Gothenburg,2
sydney,YSSY,Sydney Kingsford Smith,0
sydney,YSBK,Bankstown,1
sydney,YSCB,Canberra,2
sao-paulo,SBGR,Guarulhos,0
sao-paulo,SBSP,Congonhas,1
sao-paulo,SBKP,Viracopos,2
taipei,RCTP,Taiwan Taoyuan,0
taipei,RCSS,Taipei Songshan,1
taipei,RCBS,Hsinchu,2
tel-aviv,LLBG,Ben Gurion,0
tel-aviv,LLER,Ramon,1
tel-aviv,LLOV,Ovda,2
tokyo,RJTT,Haneda,0
tokyo,RJAA,Narita,1
tokyo,RJTF,Chofu,2
tokyo,RJTH,Hachijojima,3
toronto,CYYZ,Toronto Pearson,0
toronto,CYTZ,Billy Bishop,1
toronto,CYKZ,Toronto Buttonville,2
toronto,CYHM,Hamilton,3
vancouver,CYVR,Vancouver International,0
vancouver,CYXX,Abbotsford,1
vancouver,CYYJ,Victoria International,2
vancouver,CYLW,Kelowna,3
vienna,LOWW,Vienna,0
vienna,LOWG,Graz,1
vienna,LOWI,Innsbruck,2
warsaw,EPWA,Warsaw Chopin,0
warsaw,EPKK,Kraków,1
warsaw,EPGD,Gdańsk,2
washington-dc,KDCA,Reagan National,0
washington-dc,KIAD,Washington Dulles,1
washington-dc,KBWI,Baltimore/Washington,2
washington-dc,KADW,Joint Base Andrews,3
washington-dc,KHEF,Manassas Regional,4
zurich,LSZH,Zurich,0
zurich,LSGG,Geneva,1
zurich,LSZB,Bern,2
